VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost,TotalCost
V001,CD01,104.0,CD01-C020-C023-C003-C017-C011-C008-CD01,6,15-15-12-25-17-20,42.1761,1.0544,22915.67,186369.31
V002,CD01,103.0,CD01-C006-C004-C015-C022-C013-C014-CD01,6,17-15-17-18-21-15,35.3029,0.8826,19181.25,164146.11
V003,CD01,101.0,CD01-C005-C009-C024-C016-C010-C001-C018-CD01,7,20-20-11-10-15-13-12,47.0121,1.1753,25543.26,202005.92
V004,CD01,69.0,CD01-C012-C021-C007-C019-C002-CD01,5,12-14-17-11-15,37.3493,0.9337,20293.12,170762.72
